clean_tweet,sentiment_result
pjj lagi aja deh gak ptm terbatas ptm gua kaget capek dihajar tugas pembagian jadwal,4
sedih mulai udah mulai ptm terbatas lagi,-3
sekolah anak saya tidak ada ptm karena ada vaksin dosis kelas infonya bukan karena lonjakan kasus besok kembali ptm seperti jadwal sebelumnya saya sebagai tua keberatan info serba dadakan dari pihak sekolah,44.0
ptm sudah capek banget tugas kelompok menerus habis belajar cepet,11
mulai depan sekolahku ptm terbatas lagi aaaa,1
semangat pagi ptm terbatas,8
horor banget bangun pagi kasih info depan mulai ptm terbatas,1
semua tergantung tuanya cabut anak suruh daring jika sekolah marah karena anaknya daring laporkan pihak sekolah kepolisi bila perlu kadisdikbudnya laporkan ndak usah repot anak saya walau sekolah wajib ptm sudah tetap daring hak saya sebagai tua,-54.25
sekolah rin balik ptm gegara ada word rin milih buat masuk sekolah karena takut,-3
anak saya sd belum saya bolehkan masuk sekolah ptm sedihnya sekolah katanya sudah meniadakan daring karena sudah ptm diperbolehkan enggak ikut ptm dikasih tugas harian saja,-6
saya usul tetap ptm argumentasi saya boleh ptm adalah anak sudah divaksin ptm orangtuanya sudah vaksin lengkap protokol kesehatan di sekolah diawasi sekolah online memperlihatkan ketimpangan pendidikan parah cukup jangan lagi,-8
beberapa lalu saya minta saya agar keponakan saya gak usah ptm minta tugas apapun sama gurunya barusan kasih kabar lebih dari tua melakukan hal sama selamatkan anak anak,-8
aku kemaren kemaren sebelum ptm begadang sampai dini semenjak ptm badan jadi capek banget,4
sekolah anak saya ngga berani hentikan ptm sampai kemarin ada anak positif covid sekeluarga ptm dihentikan tp cuma sementara pejabatnya tenang aja mungkin mikirnya ah kena anak bukan saya,-7.5
kalau pjj makan teratur soalny pulang kmpung ada ibu masak kalau ptm jadi anak kosan males masak mau beli rugi wkwk,6
sekolah anak saya walau anak tidak bersedia vaksin diperbolehkan ptm kok tidak ada perbedaan,-19
sekolah gua udah kena covid tp sekolah tetap kekeh buat ptmt kalau udah libur nunggu tumbal sekolah mau bayar biaya perawatannya kah kalau misalkan kena mau ngegantiin nyawa kalau sampai ada,22
anjir kemarin kakel gua sekarang temen seangkatan gua ada kena cororong untung aja kemarin emak gua ga ijinin masuk ptm,-6
top bu saya begitu diminta isi form vaksin kalau vaksin menjadi syarat ptm anak saya online aja dibilang ada pembelajarn online saya jawab yaa udah anak keluar ehh dihub agar masuk sekolah setelah sekolah,-7
pjj enak santai memahami materi suka kesusahan ptm males sakit perut males ketemu banyak,4
aku anak harusnya ptm diundur jadi feb ptm mau belajar bingung aku belum dimasukin group kelas,2
mau anaknya pjj silahkan jangan recoki anak semangat ptm lagian saran saya kalau anak kena omicron gejalanya bapil ya anaknya disuruh istirahat minum obat flu biasa jangan disuruh swab toh obatnya sama obat flu biasa,-20
jakarta masuk lagi ppkm level sekolah diminta ptm sekolah anak saya gak berani ubah kebijakan karena mengacu skb kementerian katanya,-9
sudah ptm diumumin malem disuruh pjj lagi hehe,-1
mau sekolah ptm undur jadi feb sekarang pjj mau belajar aku belum dimasukin group kelasnya,16
ptm malah lebih enak tau tugasnya aneh lebih sering bahas materi  karena aku kebagian sesi pjj jadi tugasnya aneh,15
sekolah anak saya sehat semua ptm lancar anak makin cerdas ribu gak termasuk anak sekolah dikecamatan jagakarsa jaksel pasti prof semua pjj punya privilege ada smartphone kuota kecuali mau modalin sampai pelosok,7.0
halo gue ptm lagi alias anjing males banget,-12
gagal ptm wisuda online gajadi offline asik,-3
kasian anak pandemi gak punya temen mainnya sama sepupu doang begitu ngaji ptm seneng banget selalu ceria,-1
alhamdulillah sekarang sudah normal semenjak ptm lagi sebelum ptm pasti tidur jam gituan,14.0
lintang belum sekolah sudah mengaji ngajinya semester full ptm semester sebelumnya online,12
anak kelasku banyak gamasuk woe sakit jadi takut ptm,-4
ptm pjj mls dah asli,-5
tetap ptm walau gak ngerjain tugas,0
pjj santai ptm lebih cepet paham materi,5
aku mau seneng ada ptm jadi ulangan ada ptm karena berita duka ya,20
entah guru guru ptm ngeselin semua ngasik tugas aneh aneh,0
mending ptm,2
sekolah swasta gatau ada mreka ptm hati dah negri,5
suka pjj santai males malesan lama kelamaan bosen pengen ptm biar paham,-7
semangat buat lagi ptm jangan aneh aneh sekolah,10
wi semangat aku sebelumnya ptm tiap karena dikelas ada kena covid jadi pjj lagi,1
semoga ptm diberentikan deh kak di jakarta udah sekolah ditutup gegara ada kasus positif,-8.0
iya saya gak ngijinin anak saya di vaksin mbak karena anak saya dari kecil sering di rawat di rs saya gak mau ambil resiko gak tau besok boleh ptm,-33
gajadi wkwk ada harapan ptm kalau sampai besok kasus,-2.0
ptm kebanyakan tugasnya kelompok,-1
udah aja awali semangat walaupun sekolah udah ptm tetap belajar,11
anjing dah siap siap taunya ada ptm,-1
aku heran sama sekolah ada kasus kopit sekolahnya tetap adain ptm,-19.0
ptm seindah diharapkan,3
enak banget ptm mau ptm,11
gua kira sudah ptm jam tidurnya bakal berubah ternyata sama ajaa malah makin parah,4
pjj gatau semenjak ptm semangat gua jadi hilang jadi ngga niat,5
kebijakan ptm gak mau ditinjau lagi sekolah anak saya dah ada kejadian sd sma habis ptm keesokannya positif jadi merepotkan semua ikut ptm kena tracing sekeluarga pcr walaupun belum pasti kenanya sekolah jadi cluster,-7.0
wow temen sekolah uda ada positive mericon,7
jika ada positif kena tracing semua lebih baik ptm  lanjut daring kemaren anak saya sistemnya begini,-2
gue gamau pjj anjing udah enak banget ptm,-5
kalian ada engga sejak ptm rasanya capek bangett bentaran doang sekolahnya,7
ptm belajarnya belum normal balik jam,-2
enak ptm way pagi,6
semangat ptm,4
belum full ptm udah suruh pjj lagi tugas kelompok banyak bener,-3
ptm males banget,-3
hua aku malah pjj nder huhu gak nyobain ptm malah,2
kalau bangun buat pjj ngantuk banget ptm ngga terlalu,2
lebih suka ptm cape poll,0
ihh bentar lagi ptm aku gak siap bertemu macam ras manusia meskipun aku berasal dari ras terkuat muka bumi read wibu,-9
semangat ptm,4
enak anjing gue malah maunya pjj cape banget ptm,-6
pjj dong aih malah ptm mulu jaba tugas kelompok wae,-2
gak tau semenjak ptm aku jadi lebih males,4
aku pjj hiks pengen ptm,5
ptm tetap diberlakukan namanya nekat,5
awal pjj sudah agak mending masuk sistem absensi ganjil genap ketimbang ptm dilakukan,0.5
semenjak ptm gue atm nyetor mulu setiap,-1
balik pjj lagi sekolah aja ya sekolahku ptm,2
sedih giliran sudah nyaman ptm malah kasus makin banyak,-12.0
ptm seru tugas kelompok tepar,1
aku males banget ptm dahh mau tidur,4
gue lagi ptm yaallah nyesek aksa kemana,-14
anak kelas sebelah gue kena sembuh biar gue ptm lagi,-19
ptm ptm sering sakit gara kecapean,-6
halo selamat pagi aku kembali pjj lagi enakan ptm,11
sama katanya masuk ptm lagi,-4
nataru dilonggarin sekolah dibuka ptm temen gue story tempat swab sudah rame lagi abis liat,4
temanku males berusaha banget biar ga ptm sampai chat grup,2
aku ptm tetap kesekolah karena ada kegiatan lain high semangat,8
baca cerita tua curhat tentang kegiatan ptm di sekolah anaknya makin makin pusing bener dah nyawa anak dikira,4
ptm walaupun sakit badan materi nemplok kepala,-8
ngasih info ptm pagi pagi anjing gua udah rapih,-6
bayangin se kesel aku kemarin libur ngasih tugas aja karena guru pergi sekarang tiba tiba disuruh,1
ptm menyenangkan sampai ulangan pakai kertas,6
ptm gue males jadi akhirnya daring,-6
katanya mau pjj lagi dah seruan ptm,-2
ptm seru gak seru bangun pagi,11
ptm anjir sangking emosi sampai typo,4
pjj karena setelah ptm aku sadar kalau sekolah bener bener loss prokres,8
ngeri banget jadi takut karena semester nanti mulai ptm,-6
ngantuk banget untung ga ptm,2
capek ptm gak ihh iya,9
lalu sudah gegara kabupaten level omicron jadinya dibuat ptm,5
pjj aja ptm ribet ngga santai tugas makalah hard file,-6
ptm hihi semangat,4
jam tidur gue udah normal lagi semenjak ptm,-2
alhamdulillah ptm jangan sampai pjj lagi deh,1
bangun pagi gosok gigi cuci muka ptm lagi,-6
semenjak ptm makin jatuh hati sama kafein,8
bersin mulu takut covid parno aja gegara ptm,1
kalian ptm ada istirahatnya aku gaada coba,5
muridnya covid sekolahnya tutup wkwk lucu banget suka banget sama ptm ya,13
ptm aku nambah ilmu lebih dari dibuku internet walaupun agak oot dari materi dipelajari,-0.5
enggak maksudnya feel kalau ptm biasanya gue siapin mata pelajaran sama mandi pagi eh,1
malesnya ptm bocil bangsat pada mencetin bel rumah gua asu pengen takol,-10
kasus harian naik tetap maksain ptm walau terbatas,-3.0
untung dah engga karena dah ptm tidur suka jam,-1
yuhu setelah dua pjj rumah balik ptm lagi mari siap siap,4
mls ptm,-4
ga enak ptm full buat anak smk kayak aku sekolah jm sampai jam sore jadi pulang sekolah sudah capek bangett maksain,7
aaa malas banget ptm,-3
kayaknya ptm disini bakal distop lagi deh,-6
ya lagian ptm langsung jebret anak sekolah mau dijadiin kelinci percobaan omicron,8
ptm nder soalnya materi sama tugasnya lebih ngerti ketimbang pjj abis ptm belajarnya asik soalnya bareng temen,11
asli capek ptm ulangan math indo trs latihan sore sampai jam lanjut nyicil ngerjain tugas,2
ribet banget coi sudah kebiasa ptm balik lagi,-4
nunggu kasus positif ngelonjak kemudian stop ptm heran gak waras,-10.0
kalau gue liat liat sekolah gue batu anjir sudah tau ada kena covid malah lanjut ptm diliburin aja,8
koko semakin banyak cov terdeteksi di sekolah imho mas menteri sudah waktunya mengevaluasi ptm,13
ptm enak ngerti materi terlalu banyak tugas kelompok sama individu,16.0
semenjak ptm gue sering banget tiba tiba kebangun lagi tidur abis reflek nangis ngeluh capek,-3
semoga jogja ga ikut ikutan aduh udah enak ptm,13
bukan sekolah diterapkan diharuskan malahan seperti dipaksa vaksin buat ptm,-7
ptm karena dapat uang jajan jadi paham sama materi lagi pelajari plusnya ketemu mas crush,0
seharusnya tengah naiknya kasus covid varian omicron sementara sekolah kembali online saja nanti kalau sudah landai kasusnya ptm,-0.0
please jangan pjj lagi please pengen ngehabisin tersisa sebelum lulus sebaik mungkin,-3.0
jangan smpe tmn kampus terpapar gegara ptm awas sja dibatalkan ptm karena nunggu kena dulu,-8
mulai mencium aroma aroma ptm,-2
aku nanti pagi ptm belum tidur,4
aku masing ada kurang lebihnya pjj aku jenuh enak jadi lebih ga cape fisik ptm asik ketemu teman,18.0
ptm jangan berhenti plis stress gua dirumah tai,-19
besok ptm gabisa tidur anjing,-1
lebih baik distop sementara melihat kasus penularannya lebih cepat pjj,-6.0
kalau ptm enaknya gue ketemu guru praktek ayey,0
gue gue suka ptm kbm aja gue mau sekolah,3
sumpah ga gue ga ptm,7
sumpah kalau dalam dekat gak ptm lagi aku prank banget sama semesta,10
tv katanya ada murid kena weh serem ptm persen,0
ihh besok ptm males banget,-8
kampus gua rencananya semester depan sudah ptm jujur seneng banget degdegan jg karena udah lama ga masuk kelas,3
omicron lagi naik naiknya ga ada pencegahan buat ngga maksain ptm dulu ga nunggu ada kena dulu,-9
kalau ptm penjelasan lebih dipahami tugas dikit karena menekan pemahaman kalau pjj gila tugas,-8
ptm soalnya pelajaran lebih meresap,2
sekolahku lagi ngeluh sakit sendi flu batuk sama badan anget sudah banyak ngalamin termasuk aku sendiri ptm,-15
semenjak ptm kerjaan gua kalau gak tidur ya ketiduran,-4
wkwk biasanya tidur jam segitu kaaa wah enak aku males banget sekarang ptm,5.0
kemarin ngotot ptm banyak kasusnya covid di sekolah sekarang ngumpet ya,7
gue sekolah ptm kayak buat healing ketawa cekikikan di rumah belum tentu kayak,2.7
udah semester awal ptm full pula tugasnya sama kayak daring bedanya sekrang banyak tugas,4
cape ptm jujur,0
gua msh mau main hp besok ptm,4
speechless sama pemda dki tetap ngotot ptm paling ngotot jakarta lockdown,0.0
menemukan banyak pelanggaran prokes dalam pelaksanaan ptm persen,5
semenjak ptm jadi ga stress lagi ada makin stress anjing,10
sama kaya ponakan saya mak dok saya bersikeras ortunya jangan pernah mau vaksin ptm daring aja,6
ya betul sebenarnya pjj enak ptm enak sekarang kasus omicorn lagi naik mending pjj dulu deh ngeri cuy,-16.0
gatau deh masing punya kelebihan gua butuhin pjj uhuas dkk ptm gampang dimengerti,0
kemarin dah kena sekarang ptm lagi,-9
way ya audeh nangis besok ptm huhu,-1
shift aku lelah banget nget nget sampai sekarang ngerjain tugas kalau pagi ngerjainnya takut ga selesai,5
aa mau udah lumayan nyaman ptm bentar otak bodoh lagi,5
depan ptm gak mau pengen per sesi aja masa setiap hapalan bahasa inggris sama keagamaan pusing,-6
berupa teguran sudah ingatkan berkali prokes tidak mungkin diterapkan sekolah sanksi tegas,7
males ngotorin seragam buang bensin soalnya cuma pensi doang jadi ya ngapain mending rumah,1
kayaknya sekolah lain sudah balik pjj lagi sekolah gue tetap ptm aneh,2
kalau punya cewe mending ptm tar biar bucin plek plek plek tiap,5
sekelas positif covid semua kantin sama kopsis sekolah ditutup tetap disuruh ptm,2
pjj karena ptm teman gak asik kalau pjj capek gak kuat ngerjain tugas gak masuk otak kalau,-5
lemes bre ptm isinya kerja kelompok praktek laporan presentasi niatnya mau kejar materi malah isinya,-13
kalau ptm di ganti belajar online trus pelajar vaksin kemarin sampai ada dipaksa,7
awal wow bercandain ptm dadakan awal nyaman ptm walau tugas numpuk numpuk,-3
setelah ptm aku jadi males banget,0
ptm mending kalau ada ulhar online semua aja,1
takut nanti pjj lagi jujur sebenernya gue males ptm tugas kelompok banyak banget gue males kalau ngerjainnya online online ribet,-18
mau nangis aja sekolahku balik sistem pjj bismillah balik ptm lagi,-8
males yakin sama siswa guru buka masker seenaknya ptm,7
hoo kentut ptm kentut kentut,-6
aku dengar dari kalian ptm ya tatap muka belajarnya kerjanya belum wfh kasus sudah naik,-11.0
gak punya temen sebangku duduk sendiri karena belum ptm,-10
ptm pjj membuatku malas belajar,-4
mending turu besok ptm tai kucing,-3
yolahh gue seneng pjj lagi ptm lebih seru rasanya,5
enak bener ptm,8
update terkini aku wes mulai bosen ptm,2
sama bayangin ptm tetap dikasih tugas,7
sudah aja awali semangat walaupun sekolah sudah ptm tetap belajar,21
ptm membuatku sibuk,4
es pjj jangan kelamaan kayaknya aku bakal kangen ptm,-5
besok ptm males banget pengen bobo,0
udah seru seru ptm,10
hadeh gue sudah sibuk lagi gegara sekolah sudah ptm bentar lagi wisuda kshakahsa seneng banget wisudanya offline,7
oke aja sekolah aku ptm udah ada kena soalnya,8
ptm semoga ptm amin,3
belum ptm sekolah lain sudah ada kena omnicorn yaudah yuk pjj lagi wkwk,7
dahlah dari awal sudah tidak yakin ptm bakalan awet,1
jujur lebih suka ptm tapi temen gue beda sesi gue gapunya temen lagi di sesi sama kaya sebelumya,2
gaenak kalau ptm selama belajar narik ingus mulu,-2
mungkin gara ptm gue sering julid jadi suka lupa pls,-1.5
semenjak ptm gue jadi suka lupa deadline tugas kalau lagi pjj gue inget,-6
ayolah hentikan lagi ptm kesehatan semua warga jakarta,-8
pjj ptm pahamnya sama aja tp kurangnya kalau ptm tugas banyak jadi fokus materi,9
gila ngeri banget sekolah ptm bru di kabarin kalau ada siswai positif covid untung milih ptm karena dilarang tua,1
baik baik besok aku ptm lagi ihh mls banget,-3
anjay besok ptm,-3
ptm cape tau ahaha,-8
ptm lagi bangsat,-8
ptm malah capek banget,5
sekolahku ptm nder dari awal lalu ademm banget kayaknya gak ada kasus covid sama sekali,3.0
kayak gak konsisten banget pjj ya pjj ptm ya ptm,6
lagi nyamannya ptm,-3
gue takut full ptm karena karena tugas tugas sudah baris mau ngejar gue,-5
ptm gak enaknya cuma pas kelompokan,0
harusnya jadi online aaa iya ada seru ptm,10
iyaa capek ptm,4
sama anjir kalau pjj emg banyak banget tugasnya kayak ptm,3
ptm sudah mau remuk anjir badan,4
ptm pelajarannya lebih masuk otak kalau pjj jujur aja guruku jarang banget zoom jadi cuma ngasih materi,7
ptm mending pjj,2
bangsat doain sekolah gue biar pjj males bangun pagi anjing kalau ptm,-10
lama gue jadi pengen pjj aja ptm,-2
sudah ptm jdi ptmt lagi sialan,-3
ada kasus positif sekolah tetap tenang ptm biasa rambut gondrong dicat pulang dulu mas mbak dibenerin dulu rambutnya nggih,-21.0
kembaliin tidurku woi anjir ptm makin banyak aja tugas,6
males besok ptm,-4
gue bosen cuma ngerasa lebih seru ptm aja,-5
serius moga ptm dah bosen,-11
sudah sekolah dah ptm gegara naik lagi kasusnya ada omicron segala,4
sekolah sender mau balik ptm lagi huhu,2
haduh mtk menyusahkan untung besok pjj kalau besok ptm ketar ketir aku belum ngerjain pr mtk,3
ptm dong biar semangat belajar,5
gatau lagi bingung mau ngapain rumah mau ptm,9
besok ptm lagi aku galau lagian jadi banyak positif elah,4
sudah lelah ptm,9
males banget ptm besok,-3
besok sekolah ptm males sampai tulang,3
sekolah mau stop ptm aja ya banyak anak belum usia vaksin,15
semoga pjj sampai tahun ajaran berakhir ya allah gatau gak suka ptm,7
bajingan ptm baru awal tugas presentasi banyak banget ngentot,-10
